sequence_id,Fixation_Count,Saccade_Count,Fixation_Ratio,MeanVelocity,MaxVelocity_Global,Velocity_STD,Total_Fixation_Duration,Mean_Fixation_Duration,abnormal_type,label_encoded
NOR_00209,149,1,0.9933333333333333,0.027848278,0.6791981336061613,0.080101967,149,1,normal,0
NOR_00210,150,0,1,0.019058764,0.1350524082247031,0.025477913,150,1,normal,0
NOR_00211,149,1,0.9933333333333333,0.019506666805596123,0.8115978578838651,0.06724177,149,1,normal,0
NOR_00212,150,0,1,0.01568321,0.1420119382352494,0.021907045081390165,150,1,normal,0
NOR_00213,150,0,1,0.014186612269995728,0.1322835786169077,0.021152753217231597,150,1,normal,0
NOR_00214,150,0,1,0.017486896257363917,0.1570530699891461,0.025407815,150,1,normal,0
NOR_00215,148,2,0.9866666666666667,0.12772050501378995,8.404587454,0.9648506370837415,148,1,normal,0
NOR_00216,149,1,0.9933333333333333,0.024341805757127157,0.627912848,0.074009523,149,1,normal,0
NOR_00217,150,0,1,0.017841305175933513,0.126855423,0.024477819679072678,150,1,normal,0
NOR_00218,149,1,0.9933333333333333,0.025399715442843876,0.8532051007674272,0.075381885,149,1,normal,0
NOR_00219,149,1,0.9933333333333333,0.022001118,0.3839737814251896,0.04735033,149,1,normal,0
NOR_00220,149,1,0.9933333333333333,0.022983776,0.7185995978696824,0.064488624,149,1,normal,0
NOR_00221,149,1,0.9933333333333333,0.030730287020636345,0.6808809821215565,0.089945293,149,1,normal,0
NOR_00222,149,1,0.9933333333333333,0.019886497097894404,0.3744240056511836,0.0379093,149,1,normal,0
NOR_00223,150,0,1,0.01790532,0.1531790557069401,0.025216204,150,1,normal,0
NOR_00224,149,1,0.9933333333333333,0.020683029839913054,0.779345383,0.067477752,149,1,normal,0
NOR_00225,149,1,0.9933333333333333,0.022884432,0.3917698293275181,0.044071107,149,1,normal,0
NOR_00226,149,1,0.9933333333333333,0.032198657,1.521665327685427,0.12774341699877903,149,1,normal,0
NOR_00227,150,0,1,0.020891278370568967,0.2143806679977745,0.034959853461647664,150,1,normal,0
NOR_00228,149,1,0.9933333333333333,0.023486369490308093,0.7644867910386027,0.069065836,149,1,normal,0
NOR_00229,149,1,0.9933333333333333,0.022801221,0.3065066302627331,0.041650432,149,1,normal,0
NOR_00230,148,2,0.9866666666666667,0.026889331320026695,0.3872644601594946,0.053085267700550796,148,1,normal,0
NOR_00231,149,1,0.9933333333333333,0.020713896518681628,0.3971010718895545,0.048209146,149,1,normal,0
NOR_00232,150,0,1,0.020706735241099256,0.240636965,0.033075716,150,1,normal,0
NOR_00233,149,1,0.9933333333333333,0.037366928,1.219065445,0.13009040806673658,149,1,normal,0
NOR_00234,149,1,0.9933333333333333,0.15635093606029185,15.87950715400362,1.3230913815622578,149,1,normal,0
NOR_00235,150,0,1,0.1251433658422921,15.89289964231575,1.2964787916094285,150,1,normal,0
NOR_00236,148,2,0.9866666666666667,0.087832852,7.938897074420162,0.6808827622777828,148,1,normal,0
NOR_00237,150,0,1,0.022017075843096392,0.2195182015445364,0.035050728251808265,150,1,normal,0
NOR_00238,150,0,1,0.020372788467310863,0.2430121882951695,0.037797433,150,1,normal,0
NOR_00239,150,0,1,0.019761414052481434,0.2530555870080122,0.03757771,150,1,normal,0
NOR_00240,150,0,1,0.018533981312237765,0.2383280566133473,0.027267426045855525,150,1,normal,0
NOR_00241,148,2,0.9866666666666667,0.025994016,0.3428039591089074,0.055348133,148,1,normal,0
NOR_00242,149,1,0.9933333333333333,0.024042508203961824,0.3469311656735893,0.047680765,149,1,normal,0
NOR_00243,149,1,0.9933333333333333,0.022465151993961107,0.3366114252227973,0.050345694,149,1,normal,0
NOR_00244,149,1,0.9933333333333333,0.02085959,0.3184858798961109,0.036289044,149,1,normal,0
NOR_00245,150,0,1,0.020972780602836954,0.2351695877027129,0.038631063,150,1,normal,0
NOR_00246,150,0,1,0.020998884112856563,0.2307725152238888,0.033465772966037866,150,1,normal,0
NOR_00247,150,0,1,0.028895399680181757,0.4581250834859413,0.060267068,150,1,normal,0
NOR_00248,150,0,1,0.027059391186131942,0.57959343,0.06507426,150,1,normal,0
NOR_00249,150,0,1,0.024340378,0.2992843285817915,0.044075747,150,1,normal,0
NOR_00250,148,2,0.9866666666666667,0.027285139820120232,0.8554596186745811,0.080693958,148,1,normal,0
NOR_00251,147,3,0.98,0.036996748,0.9969123239487457,0.1298098681255438,147,1,normal,0
NOR_00252,150,0,1,0.016654164085222054,0.4165131789083181,0.037855226,150,1,normal,0
NOR_00253,148,2,0.9866666666666667,0.045778371424708364,1.118120891355678,0.16667474485009276,148,1,normal,0
NOR_00254,149,1,0.9933333333333333,0.026618627,0.9948424206834139,0.087277809,149,1,normal,0
NOR_00255,149,1,0.9933333333333333,0.025420325357316968,1.052875083169424,0.089516539,149,1,normal,0
NOR_00256,148,2,0.9866666666666667,0.040738346932579626,1.050019971658424,0.144946275,148,1,normal,0
NOR_00257,148,2,0.9866666666666667,0.032903295,0.9896565470704213,0.11613537185394927,148,1,normal,0
NOR_00258,149,1,0.9933333333333333,0.02973712,0.9924998010990022,0.10441095847209361,149,1,normal,0
NOR_00259,150,0,1,0.038366145364450904,1.612732105765806,0.17976562803245935,150,1,normal,0
NOR_00260,146,4,0.9733333333333334,0.034602663201838205,0.92986225,0.11855424557367665,146,1,normal,0
NOR_00261,148,2,0.9866666666666667,0.037708707,2.680404799792608,0.22969286956099946,148,1,normal,0
NOR_00262,150,0,1,0.0328374,2.452789023155388,0.20365720094110187,150,1,normal,0
NOR_00263,149,1,0.9933333333333333,0.026585401,1.975378471967587,0.16163375142789016,149,1,normal,0
NOR_00264,150,0,1,0.016078566179840534,0.170273555,0.025641443,150,1,normal,0
NOR_00265,150,0,1,0.016595894,0.1084528478878657,0.023213416,150,1,normal,0
NOR_00266,148,2,0.9866666666666667,0.021677708929477377,0.4369689548143603,0.054080032,148,1,normal,0
NOR_00267,150,0,1,0.015897848005197415,0.098408747,0.019610455789082187,150,1,normal,0
NOR_00268,150,0,1,0.019984476275090264,0.7020111233462205,0.059869367797223884,150,1,normal,0
NOR_00269,150,0,1,0.015494341620802628,0.150190797,0.023540675849719056,150,1,normal,0
NOR_00270,150,0,1,0.014220250755251674,0.152213996,0.022499708038722727,150,1,normal,0
NOR_00271,150,0,1,0.015997774813406397,0.8621765212065537,0.070452736,150,1,normal,0
NOR_00272,150,0,1,0.014795491,0.1265492136424532,0.021153723522751598,150,1,normal,0
NOR_00273,150,0,1,0.033001943,1.738606243245196,0.14423106582764494,150,1,normal,0
NOR_00274,150,0,1,0.085016346,10.46914418966117,0.8538269710189256,150,1,normal,0
NOR_00275,149,1,0.9933333333333333,0.037935784,3.489842880050778,0.2843853285942511,149,1,normal,0
NOR_00276,150,0,1,0.087730928,5.236330266041488,0.5519162994735529,150,1,normal,0
NOR_00277,150,0,1,0.017783906,0.3857225134151702,0.039506171,150,1,normal,0
NOR_00278,150,0,1,0.025294997284728192,0.8398901419103085,0.095486402,150,1,normal,0
